tlsh,file_type,reference
T18AE63355AF9044D7EC8AA436E8338137DBB3EDA04B94C11B877863261FA71D2B537E60,*,MY-CATALOGUE/2024-02-03 updat - discord main exe colored /crealtest/creal.exe::creal.exe?ex=65d10e6e
T13BC1659B4C4BE42381B056CC087BD1E9D732421B3B42486BFDECE31CAF325648716A6E,code/python,MY-CATALOGUE/2024-02-03 updat - discord main exe colored ::__init__.py
T1E75110024E5A70A2D1F1B75D294C96A0CA52112F76E25697F1CCB0E03FBF0A0A2F7C69,code/python,MY-CATALOGUE/2023-12-04-kitty/hlokty::main.py
T1D6D1C7DF9251E4489820DA4C1F146EA8A276EA2787D5D3ADF8EC474FFBB04149DF44C1,code/python,MY-CATALOGUE/pyktrkatoo - MALWARE::setup.py
T14C211252C97155353A324369CCAB409423B5E5830F01F89C74DC07D45F0B869ABFAB77,code/python,MY-CATALOGUE/2023-12-09-lacucaracha data exfiltration::setup.py
T15821A8BA45B532F7D7FDB89075A02B267D2728A42B48C060811F17714EA82B087E2866,code/python,MY-CATALOGUE/2023-11-decrypt-from-readme/ethercheck::__init__.py
T14433F712DC29992392B3D24C85A3D547FB569323243E4403BAFCC1546FB44A2A3EDFE9,code/python,MY-CATALOGUE/javapatch - deleted from pypi::__init__.py
T1A5E026E6963AEE9D03BD841BEE99CB70173B1C011B4E232DA7A44320AB2670450F2631,code/python,MY-CATALOGUE/uconst::const.py
T1D0D023C5E93FFECE0BFC8C1DD604CD71137F140002951301937493506B1914894F2112,code/python,MY-CATALOGUE/uconst::const_v1.py
T11CD0230352010DB121B5CA542D45C8C5DF3D4E47FDD8928A574D15CD931557044E26F3,code/python,MY-CATALOGUE/uconst::__version__.py
T153916322F744A857820F4988FB2E777AA3564A638E018E70B9E82D5CD64CC7413E52FD,*,MY-CATALOGUE/1000pipclimbersystem-free-download - ADV::README.md
T135C206B36C97044952358E9F942BF849E312624F8806A543FABC82743FF27516278FBD,code/python,MY-CATALOGUE/2024-02-05 discord password stealer::setup.py
T1A451C8516DC42F3B67E0678DAEDC9CCB176C375C63B82D4D8A479A57A1E10450FE840D,*,MY-CATALOGUE/2023-11-11-update-information-endpoint/httprequesthub/downloaded_file-stage1::downloaded_file
T1CDB1A406C4EE293536C240A5441614522FB2C15B2E8474E87EFE428C8F6DB7F92BEA7D,code/python,MY-CATALOGUE/2023-11-11-update-information-endpoint/httprequesthub::setup.py
T187528DE75123B116CC5C0A4D5540B1A0EFAD012FB1E331BA5B36B9B52E398E9CC6CE57,*,MY-CATALOGUE/pyhjdddo - run during install::uwu.png
T1C0A1329D1354D9685960CE886F005D84E265EA37EBE1D7CAF4BC4B0AFF7290498F48D0,code/python,MY-CATALOGUE/pyhjdddo - run during install::setup.py
T11A9100F6FC190110C476C3C8B5A191C1E999165BAF1E1A437A9CEEA85F33CB097A6878,code/python,MY-CATALOGUE/2024-02-06 exfiltrating documents web3::thread.py
T17C23A711C07008724B9B8C2B1CD5B802E75B94DB4A493DB6B9EC516C3F4A92953BB9FF,code/python,MY-CATALOGUE/souptools - EXFILTRATION::css_parser.py
T1B81157C2A03795109297C476C5E5BA83932E4E471D077038FEAC234B1F6A22C0BE5CBA,code/python,MY-CATALOGUE/aiotrans::translaitor.py
T1494164A35714227442F30673BDD425D9E622C1AD94C91989FE1DD239031E3EFA7A2EA0,*,MY-CATALOGUE/pytarlooko - data exfiltration::README.md
T19F31441BDD963C31B5B6C1591C129C19FAB7630B3B90D0B7B5FC82086FB7191C62395A,code/python,MY-CATALOGUE/pytarlooko - data exfiltration::setup.py
T19CE06FE30EAB301200BB828A3943603AD393AA178028B0507F0403EDCFB818127E8B21,code/python,MY-CATALOGUE/bannerscript - MALWARE::cat.py
T1D531112E8DB634A82EC201544857855A7EF999076D44F4CC37EE03045F6D8BFC6BB98D,code/python,MY-CATALOGUE/2023-11-example-package-with-revshell-clones/paquete-5::setup.py
T1D23179879CB619799983527484734A12373BBC272F95B4BD34FD07184F9102A8372ABF,code/python,MY-CATALOGUE/1-PROBABLY PENTESTS/azureml-contrib-daskonbatch::setup.py
T151111F078DBA4C753DA6067C9203AD7BE66653023240E1DBB7BEE2642FA1595C2631C3,code/python,MY-CATALOGUE/2023-11-firebase-remote-with-vm-check/dgsinstaller::setup.py
